0.000000000000000000e+00 1.161616161616161602e-01 6.760461760461760061e-01 7.092352092352092185e-01 7.572150072150072297e-01 8.347763347763347275e-01 8.463203463203463617e-01 6.475468975468975374e-01 3.838383838383838120e-01 1.601731601731601617e-01
1.150793650793650730e-01 6.727994227994228416e-01 7.182539682539682557e-01 7.229437229437228885e-01 8.207070707070707183e-01 9.029581529581529598e-01 9.036796536796536383e-01 7.918470418470417993e-01 5.880230880230880031e-01 3.344155844155843882e-01
6.699134199134199052e-01 7.233044733044733388e-01 7.229437229437228885e-01 7.914862914862914600e-01 8.989898989898990056e-01 9.220779220779220520e-01 9.134199134199134651e-01 8.611111111111111605e-01 7.211399711399711920e-01 4.945887445887445777e-01
7.218614718614718706e-01 7.312409812409812471e-01 7.593795093795093765e-01 8.290043290043289659e-01 9.191919191919192267e-01 9.260461760461760061e-01 9.184704184704184371e-01 8.813131313131312705e-01 7.582972582972582476e-01 5.645743145743146174e-01
7.334054834054833938e-01 7.316017316017315864e-01 8.012265512265511758e-01 8.917748917748917759e-01 9.318181818181817677e-01 9.289321789321789424e-01 9.152236652236652725e-01 8.672438672438672613e-01 7.485569985569985318e-01 5.588023088023088558e-01
7.380952380952381375e-01 7.730880230880230464e-01 8.275613275613276087e-01 9.195526695526695660e-01 9.393939393939394478e-01 9.267676767676767957e-01 9.072871572871572532e-01 8.528138528138528018e-01 7.417027417027417524e-01 5.559163059163059195e-01
7.438672438672438991e-01 8.019480519480519654e-01 8.492063492063491870e-01 9.271284271284271350e-01 9.285714285714286031e-01 9.184704184704184371e-01 8.914141414141414366e-01 8.416305916305916179e-01 7.362914862914863301e-01 5.551948051948052409e-01
7.795815295815295976e-01 8.264790764790764799e-01 9.134199134199134651e-01 9.365079365079365115e-01 9.285714285714286031e-01 9.105339105339105288e-01 8.755411255411255089e-01 8.344155844155843882e-01 7.337662337662337331e-01 5.519480519480519654e-01
7.987012987012986898e-01 8.401875901875901498e-01 9.231601731601731808e-01 9.282106782106782639e-01 9.253246753246753276e-01 8.993506493506493449e-01 8.621933621933621783e-01 8.246753246753246724e-01 7.341269841269840724e-01 5.523088023088023046e-01
8.250360750360750117e-01 9.080086580086580428e-01 9.318181818181817677e-01 9.282106782106782639e-01 9.116161616161616577e-01 8.888888888888888395e-01 8.495670995670995262e-01 8.239538239538239939e-01 7.337662337662337331e-01 5.523088023088023046e-01
